code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
A,,,,1,PRUEBA,,,,1,,,,
A12201,01,22,A,2,"Corte y Desmontaje de forro/lamina metálico de acero al carbono hasta 3/8"" de espesor",,,,1,14,8,m2,
004651,,,A12201,5,SEÑORITA-CADENA 2TON,,,1,0.571429,,,Unidades,0.43
004557,,,A12201,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,0.571429,,,Unidades,1
007981,,,A12201,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.571429,,,Unidades,0.33
004544,,,A12201,5,CARETA FACIAL-ESTANDAR,,,1,0.571429,,,Unidades,0.13
004817,,,A12201,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,0.571429,,,Unidades,0.25
004731,,,A12201,5,MANDARRIA 2KG,,,1,0.571429,,,Unidades,0.03
002575,,,A12201,4,PLANIFICADOR,,,0.13,0.074286,,,Dias,2.4963
003014,,,A12201,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.142857,,,Dias,2.4963
000767,,,A12201,4,CAPATAZ,,,0.5,0.285714,,,Dias,2.2075
001532,,,A12201,4,FABRICADOR,,,1,0.571429,,,Dias,1.6425
000307,,,A12201,4,AYUDANTE,,,2,1.142857,,,Dias,1.1913
004562,,,A12201,5,ESMERIL 7´´-VARIOS,,,1,0.571429,,,Unidades,0.51
004570,,,A12201,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.571429,,,Unidades,0.17
A12202,01,22,A,2,Corte y desmontaje de perfiles estructurales de acero al carbono IPN,,,,1,400,8,kg,
004651,,,A12202,5,SEÑORITA-CADENA 2TON,,,1,0.02,,,Unidades,0.43
004557,,,A12202,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,0.02,,,Unidades,1
007981,,,A12202,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.02,,,Unidades,0.33
004544,,,A12202,5,CARETA FACIAL-ESTANDAR,,,1,0.02,,,Unidades,0.13
004817,,,A12202,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,0.02,,,Unidades,0.25
004731,,,A12202,5,MANDARRIA 2KG,,,1,0.02,,,Unidades,0.0313
002575,,,A12202,4,PLANIFICADOR,,,0.13,0.0026,,,Dias,2.4963
003014,,,A12202,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.005,,,Dias,2.4963
000767,,,A12202,4,CAPATAZ,,,0.5,0.01,,,Dias,2.2075
001532,,,A12202,4,FABRICADOR,,,1,0.02,,,Dias,1.6425
000307,,,A12202,4,AYUDANTE,,,1,0.02,,,Dias,1.1913
004562,,,A12202,5,ESMERIL 7´´-VARIOS,,,1,0.02,,,Unidades,0.51
004570,,,A12202,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.02,,,Unidades,0.17
000307,,,A12202,4,FABRICADOR DE 2DA.,,,1,0.02,,,Dias,1.1913
